@relation 'BOOKKEEPER_training_iter_1-weka.filters.unsupervised.attribute.Remove-R1,2-weka.filters.unsupervised.attribute.RemoveUseless-M99.0'

@attribute LOC numeric
@attribute CyclomaticComplexity numeric
@attribute Churn numeric
@attribute LocAdded numeric
@attribute NewcomerRisk numeric
@attribute Auth numeric
@attribute WeekendCommitRatio numeric
@attribute ' nSmell' numeric
@attribute ' isBuggy' {No,Yes}

@data
4,1,176,176,1,1,0,0,No
4,1,176,176,1,1,0,0,No
11,2,176,176,1,1,0,0,No
11,3,176,176,1,1,0,0,No
5,1,178,177,1,2,0,0,No
13,3,176,176,1,1,0,2,No
11,5,176,176,1,1,0,0,No
4,1,178,177,1,2,0,0,No
5,1,176,176,1,1,0,0,No
4,1,176,176,1,1,0,0,No
4,1,176,176,1,1,0,0,No
3,1,127,127,1,1,0,0,No
55,4,129,128,1,2,0,3,No
5,2,148,148,1,1,0,0,No
6,2,148,148,1,1,0,0,No
6,3,148,148,1,1,0,0,No
8,4,149,149,1,1,0,0,No
7,1,99,97,1,2,0,0,No
9,1,99,97,1,2,0,0,No
16,1,97,96,1,2,0,1,No
7,1,99,97,1,2,0,0,No
11,2,87,87,1,1,0,0,No
12,2,87,87,1,1,0,0,No
30,6,78,74,1,2,0,1,No
9,2,113,113,1,1,0,0,No
19,3,117,115,1,2,0,1,No
8,1,113,113,1,1,0,1,No
11,2,115,114,1,2,0,0,No
9,2,113,113,1,1,0,0,No
74,8,361,346,1,2,0,1,No
31,5,372,351,1,3,0,0,No
22,5,341,335,1,2,0,0,No
51,9,345,337,1,2,0,1,No
25,6,369,350,1,3,0,1,No
41,7,95,89,1,2,0,1,No
17,2,64,61,1,2,0,0,No
64,10,128,125,1,2,0,1,Yes
3,1,369,369,1,1,0,0,No
3,1,369,369,1,1,0,0,No
28,2,369,369,1,1,0,0,No
12,2,369,369,1,1,0,1,No
27,2,369,369,1,1,0,0,Yes
14,2,369,369,1,1,0,0,No
25,5,369,369,1,1,0,1,No
3,1,369,369,1,1,0,0,No
3,1,369,369,1,1,0,0,No
3,1,369,369,1,1,0,0,No
15,4,369,369,1,1,0,0,No
3,1,369,369,1,1,0,0,No
28,2,369,369,1,1,0,0,No
12,2,369,369,1,1,0,1,No
40,7,224,224,1,1,0,2,No
35,5,232,231,1,1,0,0,No
37,4,230,227,1,2,0,0,No
28,4,228,226,1,2,0,0,Yes
3,1,0,0,0,0,0,0,No
48,9,593,589,1,2,0,2,No
39,5,593,589,1,2,0,0,No
5,1,587,586,1,2,0,0,No
19,2,589,587,1,2,0,1,No
4,1,587,586,1,2,0,0,No
11,2,589,587,1,2,0,0,No
4,1,587,586,1,2,0,0,No
25,2,589,587,1,2,0,1,No
4,1,587,586,1,2,0,0,No
23,2,589,587,1,2,0,0,No
4,1,585,585,1,1,0,0,No
4,1,585,585,1,1,0,0,No
7,5,585,585,1,1,0,0,No
17,3,591,588,1,2,0,0,No
50,5,591,588,1,2,0,0,No
38,3,593,589,1,2,0,1,No
7,2,589,587,1,2,0,1,No
12,1,587,586,1,2,0,0,No
6,1,587,586,1,2,0,0,No
37,4,597,591,1,2,0,2,No
7,2,587,586,1,2,0,1,No
36,4,597,591,1,2,0,2,No
7,2,587,586,1,2,0,1,No
18,3,587,586,1,2,0,1,No
33,4,599,592,1,2,0,2,No
12,2,591,588,1,2,0,1,No
3,1,585,585,1,1,0,0,No
3,1,585,585,1,1,0,0,Yes
3,1,585,585,1,1,0,0,No
65,11,373,369,1,2,0,2,No
78,15,383,374,1,2,0,1,No
77,10,373,369,1,2,0,1,No
11,5,365,365,1,1,0,0,No
5,1,367,366,1,2,0,1,No
47,9,108,103,1,2,0,1,Yes
5,1,65,65,1,1,0,0,No
4,1,73,69,1,2,0,0,No
4,1,72,69,1,2,0,0,No
5,1,0,0,0,0,0,0,No
40,8,191,188,1,2,0,1,No
9,3,185,185,1,1,0,0,No
7,3,187,186,1,2,0,0,No
6,3,187,186,1,2,0,0,No
3,1,187,186,1,2,0,0,No
3,1,189,187,1,2,0,0,No
3,1,185,185,1,1,0,0,No
3,1,185,185,1,1,0,0,No
3,1,185,185,1,1,0,0,No
20,3,195,190,1,2,0,0,No
6,2,187,186,1,2,0,0,No
6,2,187,186,1,2,0,0,No
3,1,189,187,1,2,0,0,No
15,1,185,185,1,1,0,0,No
4,1,185,185,1,1,0,0,No
4,1,185,185,1,1,0,0,No
7,1,49,49,1,1,0,0,No
7,1,49,49,1,1,0,0,No
7,1,49,49,1,1,0,0,No
3,1,50,50,1,1,0,0,No
3,1,50,50,1,1,0,0,No
3,1,50,50,1,1,0,0,No
3,1,50,50,1,1,0,0,No
3,1,50,50,1,1,0,0,No
3,1,97,97,1,1,0,0,No
14,3,97,97,1,1,0,0,No
3,1,97,97,1,1,0,0,No
8,1,97,97,1,1,0,0,No
22,5,97,97,1,1,0,2,No
3,1,97,97,1,1,0,0,No
8,1,97,97,1,1,0,0,No
22,5,97,97,1,1,0,2,No
3,1,138,138,1,1,0,0,No
3,1,43,43,1,1,0,0,No
3,1,43,43,1,1,0,0,No
3,1,42,42,1,1,0,0,No
3,1,42,42,1,1,0,0,No
3,1,42,42,1,1,0,0,No
12,2,56,56,1,1,0,1,No
9,4,56,56,1,1,0,1,No
3,1,56,56,1,1,0,0,No
27,9,162,162,1,1,0,0,No
3,1,6137,6118,1,2,0,0,No
8,3,6117,6115,1,2,0,0,No
4,1,6123,6118,1,2,0,0,No
4,1,6106,6101,1,2,0,0,No
8,2,6122,6121,1,2,0,0,No
18,8,6183,6131,1,2,0,0,No
4,1,6189,6134,1,2,0,0,No
4,1,6106,6101,1,2,0,0,No
8,2,6122,6121,1,2,0,0,No
30,14,6213,6149,1,2,0,0,No
4,1,6219,6152,1,2,0,0,No
4,1,6106,6101,1,2,0,0,No
8,2,6122,6121,1,2,0,0,No
4,1,6302,6107,1,2,0,0,No
3,1,6135,6104,1,2,0,0,No
3,1,6122,6104,1,2,0,0,No
3,1,6112,6104,1,2,0,0,No
3,1,6270,6247,1,2,0,0,No
7,4,6265,6244,1,2,0,0,No
14,4,6265,6244,1,2,0,0,No
21,5,6265,6244,1,2,0,0,No
5,1,6265,6244,1,2,0,0,No
7,1,6265,6244,1,2,0,0,No
4,1,6265,6244,1,2,0,0,No
7,1,6265,6244,1,2,0,0,No
4,1,6265,6244,1,2,0,0,No
7,1,6265,6244,1,2,0,0,No
9,2,6265,6244,1,2,0,0,No
11,2,6265,6244,1,2,0,0,No
5,1,6265,6244,1,2,0,0,No
7,1,6265,6244,1,2,0,0,No
3,1,6265,6244,1,2,0,0,No
3,1,6265,6244,1,2,0,0,No
3,1,6265,6244,1,2,0,0,No
3,1,6265,6244,1,2,0,0,No
5,1,6265,6244,1,2,0,0,No
3,1,6265,6244,1,2,0,0,No
8,2,6273,6247,1,2,0,0,No
