@relation 'BOOKKEEPER_training_iter_2-weka.filters.unsupervised.attribute.Remove-R1,2,3-weka.filters.unsupervised.attribute.RemoveUseless-M99.0'

@attribute LOC numeric
@attribute CyclomaticComplexity numeric
@attribute Churn numeric
@attribute LocAdded numeric
@attribute fan-in numeric
@attribute fan-out numeric
@attribute NewcomerRisk numeric
@attribute Auth numeric
@attribute WeekendCommit numeric
@attribute nSmell numeric
@attribute isBuggy {No,Yes}

@data
3,1,148,148,0,0,1,1,0,0,No
6,1,173,173,0,0,1,1,0,0,No
24,4,173,173,3,12,1,1,0,0,No
13,3,173,173,0,3,1,1,0,0,No
20,3,173,173,0,5,1,1,0,0,No
19,3,173,173,0,5,1,1,0,0,No
6,1,147,147,0,1,1,1,0,0,No
20,2,147,147,2,7,1,1,0,2,No
10,3,147,147,3,4,1,1,0,0,No
15,2,147,147,0,6,1,1,0,0,No
9,2,147,147,0,3,1,1,0,0,No
6,1,149,148,0,2,1,2,0,0,No
22,1,338,259,0,9,1,2,0,1,No
20,1,332,271,0,3,1,3,0,1,Yes
26,2,356,287,0,13,1,3,0,0,No
3,1,213,211,0,1,1,2,0,1,No
1,1,209,209,0,0,1,1,0,0,Yes
44,6,211,210,0,13,1,2,0,2,Yes
1,1,209,209,0,0,1,1,0,0,No
3,1,54,54,0,1,1,1,0,1,No
10,2,48,43,0,0,1,2,0,0,No
9,2,98,98,1,1,1,1,0,0,No
9,2,98,98,0,2,1,1,0,0,No
3,1,98,98,0,2,1,1,0,0,No
3,1,98,98,0,2,1,1,0,0,No
5,2,98,98,1,1,1,1,0,1,No
8,1,46,42,0,2,1,2,0,0,No
16,2,96,95,0,2,1,2,0,1,No
3,1,94,94,0,4,1,1,0,0,Yes
3,1,96,95,0,1,1,2,0,0,No
36,4,94,94,0,6,1,1,0,0,No
27,4,94,94,0,5,1,1,0,0,No
11,3,94,94,0,3,1,1,0,0,No
4,1,72,72,0,1,1,1,0,0,No
26,3,137,135,0,7,1,2,0,0,No
6,1,137,135,0,1,1,2,0,0,No
9,2,133,133,2,6,1,1,0,0,No
47,7,139,136,0,11,1,2,0,2,Yes
7,1,136,136,0,1,1,1,0,0,No
46,6,146,141,0,17,1,2,0,4,No
22,4,144,140,0,10,1,2,0,1,No
12,3,136,136,0,8,1,1,0,0,No
17,4,140,138,0,7,1,2,0,1,Yes
3,1,176,176,1,1,1,1,0,0,Yes
11,2,176,176,0,2,1,1,0,0,No
11,3,176,176,1,1,1,1,0,0,No
5,1,178,177,1,5,1,2,0,0,No
13,3,176,176,0,3,1,1,0,2,No
11,5,176,176,1,7,1,1,0,0,Yes
4,1,178,177,1,2,1,2,0,0,No
5,1,176,176,2,4,1,1,0,0,Yes
4,1,176,176,0,1,1,1,0,0,No
4,1,176,176,0,1,1,1,0,0,No
11,2,176,176,0,2,1,1,0,0,No
11,3,176,176,1,1,1,1,0,0,No
5,1,178,177,1,5,1,2,0,0,No
13,3,176,176,0,3,1,1,0,2,No
11,5,176,176,1,7,1,1,0,0,No
4,1,178,177,1,2,1,2,0,0,No
5,1,176,176,2,4,1,1,0,0,No
4,1,176,176,0,1,1,1,0,0,No
4,1,176,176,0,1,1,1,0,0,No
3,1,127,127,0,0,1,1,0,0,No
55,4,129,128,0,6,1,2,0,3,No
5,2,148,148,2,1,1,1,0,0,No
6,2,148,148,0,4,1,1,0,0,No
6,3,148,148,0,3,1,1,0,0,No
8,4,149,149,0,1,1,1,0,0,No
7,1,99,97,0,5,1,2,0,0,Yes
9,1,99,97,0,5,1,2,0,0,Yes
16,1,97,96,0,5,1,2,0,1,No
7,1,99,97,0,5,1,2,0,0,No
11,2,87,87,0,3,1,1,0,0,No
12,2,87,87,0,3,1,1,0,0,No
30,6,78,74,0,8,1,2,0,1,No
9,2,113,113,0,5,1,1,0,0,No
19,3,117,115,0,6,1,2,0,1,No
8,1,113,113,0,3,1,1,0,1,No
11,2,115,114,0,5,1,2,0,0,No
9,2,113,113,0,5,1,1,0,0,No
74,8,361,346,0,18,1,2,0,1,Yes
31,5,372,351,0,6,1,3,0,0,No
22,5,341,335,0,12,1,2,0,0,No
51,9,345,337,0,13,1,2,0,1,Yes
25,6,369,350,0,6,1,3,0,1,No
41,7,95,89,0,11,1,2,0,1,No
17,2,64,61,0,7,1,2,0,0,No
64,10,128,125,0,19,1,2,0,1,Yes
3,1,369,369,0,0,1,1,0,0,No
3,1,369,369,0,0,1,1,0,0,No
28,2,369,369,0,7,1,1,0,0,Yes
12,2,369,369,0,3,1,1,0,1,No
27,2,369,369,0,8,1,1,0,0,Yes
14,2,369,369,0,6,1,1,0,0,No
25,5,369,369,0,9,1,1,0,1,Yes
