@relation 'BOOKKEEPER_fullDataset-weka.filters.unsupervised.attribute.Remove-R1,2,3-weka.filters.unsupervised.attribute.RemoveUseless-M0.0-weka.filters.unsupervised.attribute.Reorder-R1,2,3,4,5,6,7,8,9,10,11'

@attribute LOC numeric
@attribute CyclomaticComplexity numeric
@attribute Churn numeric
@attribute LocAdded numeric
@attribute fan-in numeric
@attribute fan-out numeric
@attribute NewcomerRisk numeric
@attribute Auth numeric
@attribute WeekendCommit numeric
@attribute nSmell numeric
@attribute isBuggy {No,Yes}

@data
1,1,0,0,0,0,0,0,0,0,No
3,1,0,0,0,1,0,0,0,1,No
10,2,10,5,0,0,1,1,0,0,No
9,2,0,0,1,1,0,0,0,0,No
9,2,0,0,0,2,0,0,0,0,No
3,1,0,0,0,2,0,0,0,0,No
3,1,0,0,0,2,0,0,0,0,No
5,2,0,0,1,1,0,0,0,1,No
8,1,8,4,0,2,1,1,0,0,No
16,2,2,1,0,2,1,1,0,1,No
3,1,0,0,0,4,0,0,0,0,Yes
3,1,2,1,0,1,1,1,0,0,No
36,4,94,94,0,6,1,1,0,0,No
27,4,94,94,0,5,1,1,0,0,No
11,3,94,94,0,3,1,1,0,0,No
4,1,72,72,0,1,1,1,0,0,No
26,3,137,135,0,7,1,2,0,0,No
6,1,137,135,0,1,1,2,0,0,No
9,2,133,133,2,6,1,1,0,0,No
47,7,139,136,0,11,1,2,0,2,Yes
7,1,136,136,0,1,1,1,0,0,No
46,6,146,141,0,17,1,2,0,4,No
22,4,144,140,0,10,1,2,0,1,No
12,3,136,136,0,8,1,1,0,0,No
17,4,140,138,0,7,1,2,0,1,Yes
3,1,176,176,1,1,1,1,0,0,Yes
11,2,176,176,0,2,1,1,0,0,No
11,3,176,176,1,1,1,1,0,0,No
5,1,178,177,1,5,1,2,0,0,No
13,3,176,176,0,3,1,1,0,2,No
11,5,176,176,1,7,1,1,0,0,Yes
4,1,178,177,1,2,1,2,0,0,No
5,1,176,176,2,4,1,1,0,0,Yes
4,1,176,176,0,1,1,1,0,0,No
4,1,176,176,0,1,1,1,0,0,No
11,2,176,176,0,2,1,1,0,0,No
11,3,176,176,1,1,1,1,0,0,No
5,1,178,177,1,5,1,2,0,0,No
13,3,176,176,0,3,1,1,0,2,No
11,5,176,176,1,7,1,1,0,0,No
4,1,178,177,1,2,1,2,0,0,No
5,1,176,176,2,4,1,1,0,0,No
4,1,176,176,0,1,1,1,0,0,No
4,1,176,176,0,1,1,1,0,0,No
3,1,127,127,0,0,1,1,0,0,No
55,4,129,128,0,6,1,2,0,3,No
5,2,148,148,2,1,1,1,0,0,No
6,2,148,148,0,4,1,1,0,0,No
6,3,148,148,0,3,1,1,0,0,No
8,4,149,149,0,1,1,1,0,0,No
7,1,99,97,0,5,1,2,0,0,Yes
9,1,99,97,0,5,1,2,0,0,Yes
16,1,97,96,0,5,1,2,0,1,No
7,1,99,97,0,5,1,2,0,0,No
11,2,87,87,0,3,1,1,0,0,No
12,2,87,87,0,3,1,1,0,0,No
30,6,78,74,0,8,1,2,0,1,No
9,2,113,113,0,5,1,1,0,0,No
