"Index","MethodName","MethodSignature","LOC","CyclomaticComplexity","Churn","LocAdded","fan-in","fan-out","NewcomerRisk","Auth","WeekendCommit","nSmell","isBuggy"
"1","openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/AbstractUpdateManager.java::insert","(OpenJPAStateManager, ClassMapping, RowManager, JDBCStore, Collection)","30","10","384","384","0","12","1.0","1","0","1","Yes"
"1","openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/AbstractUpdateManager.java::bufferCustomInsert","(Strategy, OpenJPAStateManager, JDBCStore, Collection)","7","2","384","384","0","3","1.0","1","0","0","No"
"1","openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/AbstractUpdateManager.java::delete","(OpenJPAStateManager, ClassMapping, RowManager, JDBCStore, Collection)","28","9","384","384","0","9","1.0","1","0","1","No"
"1","openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/AbstractUpdateManager.java::bufferCustomDelete","(Strategy, OpenJPAStateManager, JDBCStore, Collection)","7","2","384","384","0","3","1.0","1","0","0","No"
"1","openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/AbstractUpdateManager.java::update","(OpenJPAStateManager, BitSet, ClassMapping, RowManager, JDBCStore, Collection)","25","7","387","385","0","10","1.0","1","0","1","Yes"
"1","openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/AbstractUpdateManager.java::updateIndicators","(OpenJPAStateManager, ClassMapping, RowManager, JDBCStore, Collection, boolean)","21","5","387","385","0","5","1.0","1","0","1","No"
"1","openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/AbstractUpdateManager.java::bufferCustomUpdate","(Strategy, OpenJPAStateManager, JDBCStore, Collection)","7","2","384","384","0","3","1.0","1","0","0","No"
"1","openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/AbstractUpdateManager.java::execute","(JDBCStore)","13","4","405","394","0","3","1.0","1","0","1","No"
"1","openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/AbstractUpdateManager.java::execute","(JDBCStore)","13","4","405","394","0","3","1.0","1","0","1","No"
"1","openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/ClassTableJDBCSeq.java::setIgnoreVirtual","(boolean)","3","1","262","262","0","1","1.0","1","0","0","No"
